drug	bbb_Target	bbb_MechanismOfAction	bbb_CurrentlyApprovedForGBM	bbb_ClinicalExperienceInGBM	bbb_ClinicalExperiencePMIDOrClinicalTrialID	bbb_FDAapprovalDocuments	bbb_BBBPubmedID	bbb_BBBCitation	bbb_BBBInformation	bbb_ExperimentalEvidenceBBB	bbb_CNSActivityPredictionScoreMPOAnalysis	bbb_CNSActivityPredictionClassification	bbb_MDR_ABCB1_BCRP_ABCG2_substrate	bbb_TransporterSubstrate	bbb_TransporterInhibitor	bbb_EffluxPumpText	bbb_EffluxPubmedID	bbb_EffluxCitation	bbb_InfluxTransporterSubstrate	bbb_UptakeTransporterText	bbb_UptakeTransporterPubmedID	bbb_UptakeTransporterCitation	bbb_AdverseEffects	bbb_Drug_DrugInteractions	bbb_CYP450Substrate	bbb_CYP450Inhibitor	bbb_CYP450Inducer	bbb_FDAApprovalStatus	bbb_MPOValueClogP	bbb_MPOValueClogD	bbb_MPOValueTPSA	bbb_MPOValueMW	bbb_MPOValueHBD	bbb_MPOValuepKa	bbb_MPOT0ClogP	bbb_MPOT0ClogD	bbb_MPOT0TPSA	bbb_MPOT0MW	bbb_MPOT0HBD	bbb_MPOT0pKa	bbb_QikPropCNSActivity	bbb_QikPropmolMW	bbb_QPlogBB	bbb_QPlogKhsa	bbb_QPPCaco	bbb_QPPMDCK	bbb_RuleOfFive	bbb_QikPropBBBPlus	bbb_UptakeTransporterSubstrate	bbb_UptakeTransporterInhibitor	bbb_RouteofAdministration	bbb_BrandName
Carboplatin	Alkylating agent	Carboplatin is an analog of cisplatin. Like cisplatin, it contains a platinum atom surrounded in a plane by two ammonia groups and two other ligands in the cis position. The other two ligands in carboplatin are present in a ring structure rather than as two chloride atoms in cisplatin. This difference makes carboplatin more stable and has less nephrotoxicity, neurotoxicity, ototoxicity and emetogenesis	NO	Intravenous carboplatin for recurrent malignant glioma: a phase II study (1991); These results suggest that CBCDA given at 400 mg/m2 or 450 mg/m2 every 4 weeks is marginally active in patients with recurrent malignant gliomas. Since hematologic toxicity is mild, a higher dose could possibly be given, and may increase the response rate.	http://www.ncbi.nlm.nih.gov/pubmed/?term=1849986	No FDA review documents available online.	http://www.ncbi.nlm.nih.gov/pubmed/?term=19662415	Jacobs S, Cancer Chemother Pharmacol 2010, 65:817-824	penetration of platinum analogs [carboplatin, cisplatin, oxaliplatin] into CSF and brain of nonhuman primates is low (<5% of plasma concentration)	NO	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	yes	unspecified	unspecified	unspecified	Bone marrow suppression, Hypersensitivity/anaphylactoid reactions, Liver function abnormalities, Neurotoxicity, Ototoxicity, Renal toxicity, Vision loss, Vomiting	Aminoglycosides, Amphotericin B, BCG, Bexarotene (Systemic), Clozapine, Coccidioidin Skin Test, Denosumab, Echinacea, Fosphenytoin-Phenytoin, Leflunomide, Natalizumab, Pimecrolimus, Roflumilast, Sipuleucel-T, SORAfenib, Tacrolimus (Topical), Taxane Derivatives, Tofacitinib, Topotecan, Trastuzumab, Vaccines (Inactivated), Vaccines (Live) 	unspecified	unspecified	unspecified	FDA Approved	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	SLC31A1; SLC31A2	unspecified	IV	unspecified
Carfilzomib	Proteasome Inhibitor	Carfilzomib inhibits proteasomes, which are responsible for intracellular protein homeostasis. Specifically, it is a potent, selective, and irreversible inhibitor of chymotrypsin-like activity of the 20S proteasome, leading to cell cycle arrest and apoptosis	NO	unspecified	unspecified	Carfilzomib was rapidly and widely distributed to most tissues in rats, but did not cross the blood-brain barrier	http://www.ncbi.nlm.nih.gov/pubmed/?term=17616698	Demo S,  Cancer Res 2007, 67:6383-6391	The distribution of carfilzomib in humans is similar to that of rats with broad proteasome inhibitory activity in all tissues except brain meaning that the compound does not cross the blood brain barrier 	NO	3	NEUTRAL	yes	ABCB1	ABCB1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression, Cardiovascular effects, Hepatic effects, Infusion reactions, Pulmonary toxicities, Tumor lysis syndrome	Aripiprazole, Clozapine, Dofetilide, Lomitapide, P-glycoprotein/ABCB1 Inducers, P-glycoprotein/ABCB1 Inhibitors, Pimozide 	unspecified	CYP3A4	unspecified	FDA Approved	0.97	-6.71	158	720	4	5.14	1	1	0	0	0	1	-2	719.92	-1.358	-0.756	83.546	110.798	2	No	unspecified	unspecified	IV	Kyprolis
Carmustine	Nitrosourea	Carmustine is a highly lipid-soluble nitrosurea compound. Carmustine, a bifunctional alkylating agent,2 alkylates DNA and RNA, can cross-link DNA, and inhibits several enzymes by carbamoylation.1	YES	We conclude that BCNU [carmustine] plus temozolomide when used in these doses and schedule has only modest activity, with significant toxicity, and appears to be no more effective than single-agent temozolomide.	http://www.ncbi.nlm.nih.gov/pubmed/?term=14769138	No FDA review documents available online.	http://www.ncbi.nlm.nih.gov/pubmed/?term=9808509	Kong Q, J Surg Oncol 1998, 69:76-82	the permeability of carmustine [through the blood brain barrier] is relatively high. 15-70% of concurrent plasma concentrations	YES	5.833333333	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression, Hepatic, Infusion site reactions, Ocular toxicity, Pulmonary toxicity, Renal, Secondary malignancies	Amphotericin B, BCG, Cardiac Glycosides, Cimetidine, Clozapine, Coccidioidin Skin Test, Denosumab, Echinacea, Leflunomide, Melphalan, Natalizumab, Pimecrolimus, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live) 	unspecified	unspecified	unspecified	FDA Approved	1.3	1.3	62	214	1	-1.95	1	1	1	1	0.833333333	1	0	214.051	-0.214	-0.593	622.146	2903.078	0	Neutral	unspecified	unspecified	IV, Wafer	BiCNU, Gliadel 
Celecoxib	COX-2 inhibitor	inhibits prostaglandin synthesis by decreasing the activity of the enzyme, cyclooxygenase-2 (COX-2), which results in decreased formation of prostaglandin precursors; has antipyretic, analgesic, and anti-inflammatory properties. Celecoxib does not inhibit cyclooxygenase-1 (COX-1) at therapeutic concentrations.	NO	Phase II study of temozolomide, thalidomide, and celecoxib for newly diagnosed glioblastoma in adults. The addition of celecoxib and thalidomide to adjuvant temozolomide was well tolerated but did not meet the primary end point of improvement of 4-month PFS from study enrollment.	http://www.ncbi.nlm.nih.gov/pubmed/?term=18403492	The Tissue/Blood ratio was 0.40 as measured by radiolabelled Celecoxib in rats.	http://www.ncbi.nlm.nih.gov/pubmed/?term=15681959	Dembo G, Anesthesiology 2005, 102:409-415	COX-2 inhibitors rapidly penetrated the CNS. Maximum CSF concentrations were 2 +/- 2, 57 +/- 25, and 10 +/- 4 ng/ml, respectively, for celecoxib, rofecoxib, and valdecoxib. CSF concentrations exceeding the median inhibitory concentration for COX-2 were achieved by rofecoxib and valdecoxib but not celecoxib.	NO	3.905	NEUTRAL	unspecified	unspecified	ABCC4	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Anaphylactoid reactions, Cardiovascular events, Gastrointestinal events, Hematologic effects, Skin reactions	ACE Inhibitors, Agents with Antiplatelet Properties, Aliskiren, Aminoglycosides, Angiotensin II Receptor Blockers, Anticoagulants, Antidepressants (Tricyclic, Tertiary Amine), Aripiprazole, Aripiprazole, Aspirin, Beta-Blockers, Bile Acid Sequestrants, Bisphosphonate Derivatives, Codeine, Corticosteroids (Systemic), Cyclosporine (Systemic), CYP2C8 Substrates, CYP2C9 Inducers (Strong), CYP2C9 Inhibitors (Moderate), CYP2C9 Inhibitors (Strong), CYP2D6 Substrates, Dabrafenib, Deferasirox, Desmopressin, Digoxin, Eplerenone, Estrogen Derivatives, Fesoterodine, Floctafenine, Haloperidol, Herbs (Anticoagulant/Antiplatelet Properties), HydrALAZINE, Ketorolac (Nasal), Ketorolac (Systemic), Lithium, Loop Diuretics, Methotrexate, Metoprolol, Mifepristone, Nebivolol, Nitric Oxide, Nonsteroidal Anti-Inflammatory Agents, NSAID (COX-2 Inhibitor), Omacetaxine, Peginterferon Alfa-2b, Porfimer, Potassium-Sparing Diuretics, PRALAtrexate, Prilocaine, Probenecid, Propafenone, Prostaglandins (Ophthalmic), Quinolone Antibiotics, Selective Serotonin Reuptake Inhibitors, Sodium Phosphates, Tamoxifen, Thiazide Diuretics, Thioridazine, Thrombolytic Agents, Tramadol, Treprostinil, Vancomycin, Vitamin K Antagonists 	CYP2C9, CYP3A4	CYP2C8, CYP2D6	unspecified	FDA Approved	4.21	-4.21	86	381	2	9.68	0.395	1	1	0.85	0.5	0.16	-1	381.372	-0.75	0.375	361.83	802.228	0	No	unspecified	unspecified	Oral	Celebrex
Ceritinib	ALK	An orally available inhibitor of the receptor tyrosine kinase activity of anaplastic lymphoma kinase (ALK) with antineoplastic activity. Upon administration, ceritinib binds to and inhibits wild-type ALK kinase, ALK fusion proteins and ALK point mutation variants. Inhibition of ALK leads to both the disruption of ALK-mediated signaling and the inhibition of cell growth in ALK-overexpressing tumor cells. ALK belongs to the insulin receptor superfamily and plays an important role in nervous system development. ALK dysregulation and gene rearrangements are associated with a variety of tumor cell types. 	NO	unspecified	unspecified	Ceritinib crossed the blood brain barrier in rats with a brain to blood exposure (AUC) ratio of approximately 15 percent. 14C-LDK378 concentrations in the brain peaked at 4 hrs and were not distinguishable from the surrounding tissues and/or background by 72 hrs post-dose.	http://www.ncbi.nlm.nih.gov/pubmed/24670165	Shaw A, N Engl J Med 2014, 370:1189-1197	We conducted a phase 1 study of ceritinib to determine the safety, maximum tolerated dose (MTD), pharmacokinetic properties, and antitumor activity of this drug in patients with advanced, ALK-rearranged NSCLC and other cancers harboring ALK alterations. Responses were seen in untreated lesions in the central nervous system in patients who had received crizotinib previously (Fig. S2 in the Supplementary Appendix). 	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bradycardia, gastrointestinal toxicity, hepatotoxicity, hyperglycemia, pulmonary toxicity, QTc prolongation	unspecified	unspecified	unspecified	unspecified	FDA Approved	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral	Zykadia
Cetuximab	EGFR	recombinant chimeric monoclonal antibody that binds to the human epidermal growth factor receptor (EGFR) with high affinity	NO	Phase II trial: Cetuximab, bevacizumab, and irinotecan for patients with primary glioblastoma and progression after radiation therapy and temozolomide. Cetuximab in combination with bevacizumab and irinotecan in recurrent GBM is well tolerated except for skin toxicity, with an encouraging response rate. However, the efficacy data do not seem to be superior compared with results with bevacizumab and irinotecan alone.	http://www.ncbi.nlm.nih.gov/pubmed/?term=20406901	No CNS distribution information available.	http://www.ncbi.nlm.nih.gov/pubmed/?term=15617598	Eller J, Neurosurgery 2005, 56:155-162	Surprisingly, cetuximab was effective when administered systemically in an intracranial model.	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Cardioplumonary arrest, Dermatoogic toxicity, Electrolyte abnormality, Infusion reactions, Interstitial lung disease	unspecified	unspecified	unspecified	unspecified	FDA Approved	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	IV	Erbitux
Chlorambucil	Alkylating agent	nitrogen mustard and acts as a cell cycle phase-nonspecific bifunctional alkylating agent	NO	unspecified	unspecified	No FDA review documents available online.	http://www.ncbi.nlm.nih.gov/pubmed/?term=3342460	Greig N, Cancer Chemother Pharmacol 1988, 21:1-8	following the administration of chlorambucil and melphalan, only low concentrations of active drug are able to enter the brain.	NO	5.783333333	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	yes	unspecified	unspecified	unspecified	Bone marrow suppression, Fertility effects, Secondary malignancy, Seizures, Skin reactions	Amphotericin B, BCG, Clozapine, Coccidioidin Skin Test, Denosumab, Echinacea, Leflunomide, Natalizumab, Pimecrolimus, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live) 	unspecified	unspecified	unspecified	FDA Approved	3.1	0.55	41	304	1	4.62	0.95	1	1	1	0.833333333	1	-1	304.216	-0.561	0.266	240.642	842.616	0	No	SLCO1A2	unspecified	Oral	Leukeran
Chlorpromazine	Anti-psychotic	The prototypical phenothiazine antipsychotic drug. Like the other drugs in this class, chlorpromazine’s antipsychotic actions are thought to be due to long-term adaptation by the brain to blocking dopamine receptors. Chlorpromazine has several other actions and therapeutic uses, including as an antiemetic and in the treatment of intractable hiccup.	NO	unspecified	unspecified	No FDA review documents available online.	http://www.ncbi.nlm.nih.gov/pubmed/?term=1355924+OR+1360262	Cohen B, Psychopharmacology 1992, 108:338-344; Tsuneizumi T, Biol Psychiatry 1992, 32:817-824	(1) Chlorpromazine crosses the blood-brain barrier, and concentrations of the drug in the brain are higher than those in plasma. Rats were given single IP injections of chlorpromazine (20 mg/kg; 56.5 micromolar/kg) and brain and plasma isolated with drug concentrations estimated by HPLC. The brain to serum ratio for Chlorpromazine was 4.6, measured 24 hrs after acute IP injection. Brain concentrations over time are shown in Figure 1. Estimated near terminal elimination half-lives (h) from brain for acutely administered chlorpromazine (20mg/kg) and fluphenazine (1 mg/kg) were 0.41 and 0.62 days, respectively, and neither drug was detectable after 4 days. (2) Concentrations of the neuroleptics haloperidol, bromperidol, fluphenazine, chlorpromazine and its metabolites nor-1- and nor-2-chlorpromazine, thioridazine and its metabolites mesoridazine, sulforidazine, and northioridazine, and promazine were estimated is serum and brain of rats by high performance liquid chromatography (HPLC) with electrochemical detection following 5 days of chronic administration of drug at typical doses (haloperidol, bromperidol, and fluphenazine 1 mg/kg/day; chlorpromazine, promazine, and thioridazine 25 mg/kg/day). In brain, chlorpromazine and promazine showed very high concentrations (3208.7 and 8844.1 pmol/g, respectively). 	YES	2.9	NO	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Tardive dyskinesia, neuroleptic malignant syndrome, leukopenia, neutropenia, agranulocytosis, EKG changes, seizures, cerebral edema, skin pigmentation, ocular changes	Guanethidine, Levofloxacin, Lumefantrine, Mazindol, Mesoridazine, Methamphetamine, Metrizamide, Pethidine, Phendimetrazine, Phenmetrazine, Phentermine, Phenylpropanolamine, Pindolol, Propranolol, Rivastigmine, Sparfloxacin, Tacrine, Tacrolimus, Tamoxifen, Tamsulosin, Terbinafine, Terfenadine, Tetrabenazine, Thioridazine, Thiothixene, Tolterodine, Toremifene, Tramadol, Trimethobenzamide, Trimipramine, Triprolidine, Trospium, Venlafaxine, Vorinostat, Ziprasidone, Zuclopenthixol, Zuclopenthixol acetate, Zuclopenthixol decanoate	CYP2D6	CYP2D6	unspecified	FDA Approved	5.3	2.9	6.5	318.9	0	9.4	0	0.57	0	1	1	0.3	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral, IM, IV	unspecified
Cimetidine	H2 receptor antagonist	Competitive inhibition of histamine at H2 receptors of the gastric parietal cells resulting in reduced gastric acid secretion, gastric volume and hydrogen ion concentration reduced	NO	unspecified	unspecified	No CNS distribution information available.	http://www.ncbi.nlm.nih.gov/pubmed/?term=11573854	Yuan R, Ann Pharmacother 2001, 35:1045-1048	Famotidine crosses the blood-brain barrier less easily than cimetidine 	YES	4.366666667	YES	yes	ABCB1	ABCB1	unspecified	unspecified	unspecified	yes	unspecified	unspecified	unspecified	Confusion	Agomelatine, Alfentanil, Amiodarone, Anticonvulsants (Hydantoin), Aripiprazole, Aripiprazole, Atazanavir, AtorvaSTATin, Benzodiazepines (metabolized by oxidation), Bosutinib, Bromazepam, Budesonide (Systemic, Oral Inhalation), Calcium Channel Blockers, Capecitabine, Carbamazepine, Carmustine, Carvedilol, Cefditoren, Cefpodoxime, Cefuroxime, Cisapride, Clopidogrel, Clozapine, Colchicine, Cyclosporine (Systemic), CYP1A2 Substrates, CYP2C19 Substrates, CYP2D6 Substrates, CYP3A4 Substrates, Dabrafenib, Dalfampridine, Dasatinib, Delavirdine, Dexmethylphenidate, Dofetilide, EPIrubicin, Eplerenone, Erlotinib, Escitalopram, Everolimus, Fesoterodine, Floxuridine, Fluorouracil (Systemic), Fosamprenavir, Gefitinib, Halofantrine, Ifosfamide, Indinavir, Iron Salts, Itraconazole, Ivabradine, Ivacaftor, Ketoconazole (Systemic), Lomitapide, Lurasidone, Mebendazole, Mesalamine, MetFORMIN, Methylphenidate, Metoprolol, Moclobemide, Multivitamins/Minerals (with ADEK, Folate, Iron), Nebivolol, Nelfinavir, Nicotine, Nilotinib, P-glycoprotein/ABCB1 Inducers, P-glycoprotein/ABCB1 Inhibitors, Pentoxifylline, Pimecrolimus, Pimozide, Pirfenidone, PONATinib, Posaconazole, Pramipexole, Praziquantel, Procainamide, Propafenone, QuiNIDine, Quinine, Ranolazine, Rilpivirine, Risedronate, Roflumilast, Salmeterol, Saquinavir, Saxagliptin, Selective Serotonin Reuptake Inhibitors, Sulfonylureas, Tamoxifen, Tegafur, Theophylline Derivatives, Thioridazine, Tolvaptan, Tricyclic Antidepressants, Ulipristal, Varenicline, Vismodegib, Vitamin K Antagonists, Zaleplon, ZOLMitriptan, Zuclopenthixol 	unspecified	CYP1A2, CYP2C19, CYP2C9, CYP2D6, CYP2E1, CYP3A4	unspecified	FDA Approved	0.07	-0.25	114	252	3	7.13	1	1	0.2	1	0.166666667	1	-2	252.337	-1.372	-0.362	277.222	159.13	0	No	SLC22A2; SLC22A1; SLC22A3; hROAT1; SLC22A8; SLC22A7;	SLC22A2; SLC22A1; SLC22A3; SLC22A5; hROAT1; SLC22A8; SLC22A4; SLC22A11; SLC22A7 	Oral	Tagamet
Cisplatin	Alkylating agent	Cisplatin is similar to the bifunctional alkylating agents. It covalently binds to DNA and disrupts DNA function.	NO	Phase III trial of carmustine and cisplatin compared with carmustine alone and standard radiation therapy or accelerated radiation therapy in patients with glioblastoma multiforme: North Central Cancer Treatment Group 93-72-52 and Southwest Oncology Group 9503 Trials.; Cisplatin administered concurrently with BCNU and RT resulted in more toxicity but provided no significant improvement in survival. 	http://www.ncbi.nlm.nih.gov/pubmed/?term=16921039	No FDA review documents available online.	http://www.ncbi.nlm.nih.gov/pubmed/?term=19662415	Jacobs S, Cancer Chemother Pharmacol 2010, 65:817-824	penetration of platinum analogs [carboplatin, cisplatin, oxaliplatin] into CSF and brain of nonhuman primates is low (<5% of plasma concentration)	NO	unspecified	unspecified	yes	ABCC6; ABCB1	unspecified	unspecified	unspecified	unspecified	yes	unspecified	unspecified	unspecified	Bone marrow suppression, Extravasation, Gastrointestinal toxicity, Hypersensitivity/anaphylactoid reactions, Hyperuricemia, Infusion site reactions, Neurotoxicity, Ototoxicity, Renal toxicity, Secondary malignancies	Aminoglycosides, Amphotericin B, BCG, Clozapine, Coccidioidin Skin Test, Denosumab, Echinacea, Fosphenytoin-Phenytoin, Leflunomide, Loop Diuretics, Natalizumab, Pimecrolimus, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Taxane Derivatives, Tofacitinib, Topotecan, Trastuzumab, Vaccines (Inactivated), Vaccines (Live), Vinorelbine	unspecified	unspecified	unspecified	FDA Approved	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	SLC22A2; SLC31A1; SLC31A2; ATP7B; ATP7A	SLC22A2	IV	unspecified
Cladribine	Nucleoside analog	synthetic purine nucleoside prodrug that is resistant to deamination by adenosine deaminase which permits intracellular accumulation.1 Cladribine is phosphorylated via deoxycytidine kinase to the active triphosphate derivative (CdATP) which inhibits ribonucleotide reductase.4 In cells such as lymphocytes with high levels of deoxycytidine kinase and low levels of deoxynucleotidase, CdATP also prevents elongation of DNA strands via direct incorporation into DNA as a false nucleotide.1,4 Depletion of adenine dinucleotide and adenosine triphosphate (ATP) also occurs.1,4 Unlike other drugs that affect purine metabolism, cladribine has cytotoxic effects on actively dividing and resting cells.4 Cladribine is an immunosuppressive agent	NO	A PHASE I STUDY OF 2-CHLORODEOXYADENOSINE AND RADIATION FOR THE TREATMENT OF HIGH GRADE GLIOMA (CDX)	http://www.clinicaltrials.gov/ct2/results?term=NCT00019071	Cladribine penetrates into cerebrospinal fluid. 	http://www.ncbi.nlm.nih.gov/pubmed/?term=9068927	Liliemark J, Clin Pharmacokinet 1997, 32:120-131	The concentration in the cerebrospinal fluid is 25% of that in plasma in patients without central nervous system disease; in patients with meningeal disease, the cladribine concentration in the cerebrospinal fluid exceeds that in plasma	YES	4.033333333	YES	yes	ABCG2	unspecified	unspecified	unspecified	unspecified	yes	unspecified	unspecified	unspecified	Bone marrow suppression, Fever, Infection, Neurotoxicity, Renal toxicity, Tumor lysis syndrome	Amphotericin B, BCG, Clozapine, Coccidioidin Skin Test, Denosumab, Echinacea, Leflunomide, Natalizumab, Pimecrolimus, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live) 	unspecified	unspecified	unspecified	FDA Approved	0.02	0.02	119	286	4	1.25	1	1	0.033333333	1	0	1	-2	285.689	-1.297	-0.735	104.849	102.805	0	No	SLC22A2; SLC22A1	unspecified	IV	unspecified
Clofarabine	Nucleoside analog	Clofarabine, a purine (deoxyadenosine) nucleoside analog, is metabolized to clofarabine 5'-triphosphate. Clofarabine 5'-triphosphate decreases cell replication and repair as well as causing cell death. To decrease cell replication and repair, clofarabine 5'-triphosphate competes with deoxyadenosine triphosphate for the enzymes ribonucleotide reductase and DNA polymerase. Cell replication is decreased when clofarabine 5'-triphosphate inhibits ribonucleotide reductase from reacting with deoxyadenosine triphosphate to produce deoxynucleotide triphosphate which is needed for DNA synthesis. Cell replication is also decreased when clofarabine 5'-triphosphate competes with DNA polymerase for incorporation into the DNA chain; when done during the repair process, cell repair is affected. To cause cell death, clofarabine 5'-triphosphate alters the mitochondrial membrane by releasing proteins, an inducing factor and cytochrome C	NO	unspecified	unspecified	Low concentrations (7-34x less than blood) of radioactivity were detected in the tissues of the central nervous system through the 2-hr time point, but declined quickly and were not quantifiable at 6 hours postdose.	http://www.ncbi.nlm.nih.gov/pubmed/?term=15743978	Bonate P, Drug Metab Dispos 2005, 33:739–748	Except for tissues with special barriers (for example, eye, brain and testes), which had low concentrations, clofarabine distribution was fairly widespread with the highest concentrations occurring in the excretory/metabolic organs and gastrointestinal tract (that is, kidney, small intestine, liver and large intestine)	NO	4.033333333	YES	yes	ABCG2	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression, Capillary leak syndrome/systemic inflammatory response syndrome	Amphotericin B, BCG, Cardiac Glycosides, Clozapine, Coccidioidin Skin Test, Denosumab, Echinacea, Leflunomide, Natalizumab, Pimecrolimus, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live), Vitamin K Antagonists 	unspecified	unspecified	unspecified	FDA Approved	0.24	0.02	119	304	4	1.25	1	1	0.033333333	1	0	1	-2	303.68	-1.147	-0.713	116.686	180.1	0	No	unspecified	unspecified	IV	Clolar
Crizotinib	ALK, ROS1	Tyrosine kinase receptor inhibitor, which inhibits anaplastic lymphoma kinase (ALK), Hepatocyte Growth Factor Receptor (HGFR, c-MET), and Recepteur d’Origine Nantais (RON). ALK gene abnormalities due to mutations or translocations may result in expression of oncogenic fusion proteins (eg, ALK fusion protein) which alter signaling and expression and result in increased cellular proliferation and survival in tumors which express these fusion proteins. Approximately 2% to 7% of patients with NSCLC have the abnormal echinoderm microtubule-associated protein-like 4, or EML4-ALK gene (which has a higher prevalence in never smokers or light smokers and in patients with adenocarcinoma). Crizotinib selectively inhibits ALK tyrosine kinase, which reduces proliferation of cells expressing the genetic alteration.	NO	unspecified	unspecified	The drug appears to efficiently cross the blood brain barrier.	http://www.ncbi.nlm.nih.gov/pubmed/?term=21422405[uid]+OR+22162573[uid]	Costa D, J Clin Oncol 2011, 29:443-445; Chi A, J Clin Oncol 2012, 30:30-33	Crizotinib seems to penetrate poorly the blood-brain barrier (one patient); subsequent case of GBM: crizotinib induced regression of a primary brain tumor despite lack of significant blood-brain barrier (BBB) penetration.	NO	3.531380952	NEUTRAL	yes	ABCB1	ABCB1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Hepatotoxicity, Ocular toxicities, Pneumonitis, QT prolongation	Afatinib, Alfentanil, Amphotericin B, Aripiprazole, Avanafil, Bosutinib, Bosutinib, Budesonide (Systemic, Oral Inhalation), Cardiac Glycosides, Colchicine, Colchicine, Cyclosporine (Systemic), CYP2B6 Substrates, CYP3A4 Inducers (Strong), CYP3A4 Inhibitors (Moderate), CYP3A4 Inhibitors (Strong), CYP3A4 Substrates, Dabigatran Etexilate, Dabrafenib, Dasatinib, Deferasirox, Dihydroergotamine, Eplerenone, Ergotamine, Everolimus, Everolimus, Fentanyl, Grapefruit Juice, Highest Risk QTc-Prolonging Agents, Ifosfamide, Ivabradine, Ivacaftor, Ivacaftor, Lomitapide, Lurasidone, Mifepristone, Moderate Risk QTc-Prolonging Agents, P-glycoprotein/ABCB1 Inducers, P-glycoprotein/ABCB1 Inhibitors, P-glycoprotein/ABCB1 Substrates, Pimecrolimus, Pimozide, Pomalidomide, Prucalopride, QTc-Prolonging Agents (Indeterminate Risk and Risk Modifying), QuiNIDine, Rivaroxaban, Salmeterol, Saxagliptin, Silodosin, Sirolimus, St Johns Wort, Tacrolimus (Systemic), Tocilizumab, Tolvaptan, Topotecan, Ulipristal, Vilazodone, Vincristine (Liposomal), Vitamin K Antagonists 	CYP3A4	CYP2B6, CYP3A4	unspecified	FDA Approved	4.73	2.25	77.998	450.34	3	7.05	0.135	0.875	1	0.354714286	0.166666667	1	0	450.342	-0.195	0.787	180.465	486.222	0	Neutral	unspecified	unspecified	Oral	Xalkori
